1990 habitat,2021 habitat,hectares,,
Marine,"Freshwater, wetlands, and floodplains",115.3125,,
Urban,Marine,167.3125,,
Urban,"Freshwater, wetlands, and floodplains",353.625,,
"Freshwater, wetlands, and floodplains",Urban,446.5625,,
Urban,"Mountains, moorland, and heath",505.8125,,
Coastal margins,Woodland,806.4375,,
Semi-natural grassland,Urban,901.0625,,
Urban,Coastal margins,910.5,,
"Freshwater, wetlands, and floodplains",Coastal margins,1036.25,,
Coastal margins,"Mountains, moorland, and heath",1506.5,,
Coastal margins,Urban,1802.3125,,
Woodland,Coastal margins,2031.875,,
Coastal margins,Enclosed farmland,2734.75,,
"Mountains, moorland, and heath",Urban,3038.4375,,
Urban,Enclosed farmland,4777.9375,,
Urban,Woodland,4939.4375,,
Woodland,"Freshwater, wetlands, and floodplains",5255.625,,
Semi-natural grassland,Coastal margins,5567.25,,
Woodland,Semi-natural grassland,6010.875,,
Coastal margins,Marine,6502,,
Marine,Marine,7641.8125,,
Woodland,"Mountains, moorland, and heath",10653.5625,,
"Freshwater, wetlands, and floodplains",Enclosed farmland,11963.5,,
"Freshwater, wetlands, and floodplains",Semi-natural grassland,13802.0625,,
Woodland,Urban,14069.5625,,
Woodland,Enclosed farmland,15458.6875,,
"Mountains, moorland, and heath",Coastal margins,19425,,
Enclosed farmland,"Freshwater, wetlands, and floodplains",22223.0625,,
"Freshwater, wetlands, and floodplains",Woodland,22224.25,,
Enclosed farmland,Coastal margins,24963,,
Marine,Coastal margins,27478,,
Semi-natural grassland,"Freshwater, wetlands, and floodplains",43956.9375,,
Enclosed farmland,"Mountains, moorland, and heath",45046.0625,,
Semi-natural grassland,Enclosed farmland,50064.8125,,
Enclosed farmland,Semi-natural grassland,53205.0625,,
Enclosed farmland,Urban,54270.625,,
"Mountains, moorland, and heath",Enclosed farmland,72837,,
Enclosed farmland,Woodland,99397.125,,
"Freshwater, wetlands, and floodplains","Mountains, moorland, and heath",100243.5625,,
Semi-natural grassland,Woodland,101625.6875,,
Coastal margins,Coastal margins,104495.9375,,
Urban,Urban,125621.5,,
Semi-natural grassland,"Mountains, moorland, and heath",168371,,
"Mountains, moorland, and heath",Woodland,243658.75,,
"Mountains, moorland, and heath","Freshwater, wetlands, and floodplains",287889.3125,,
"Mountains, moorland, and heath",Semi-natural grassland,332142.875,,
"Freshwater, wetlands, and floodplains","Freshwater, wetlands, and floodplains",527781.125,,
Semi-natural grassland,Semi-natural grassland,853789.125,,
Woodland,Woodland,936569.1875,,
"Mountains, moorland, and heath","Mountains, moorland, and heath",1732425.125,,
Enclosed farmland,Enclosed farmland,1832176.5005,,
