year,index1,index2,index3
2004,  32.2345342 ,0.00,0.00
2005,  60.3304239 ,0.00,0.00
2006,  88.7920326 ,0.00,0.00
2007,  120.4844907 ,0.00,0.00
2008,  156.2297413 ,0.00,0.00
2009,  154.7151395 ,0.00,0.00
2010,  211.6880899 ,0.00,0.00
2011,  257.6868593 ,0.00,0.00
2012,  225.1571270 ,0.00,0.00
2013,  184.0725402 ,0.00,0.00
2014,  248.2873779 ,  17.5219159 ,0.00
2015,  295.4209436 ,  33.7468349 ,0.00
2016,  303.5705421 ,  76.4097059 ,0.00
2017,  315.8124176 ,  83.4191780 ,0.00
2018,  317.8690781 ,  117.1271262 ,0.00
2019,  354.0581687 ,  122.4420299 ,0.00
2020,  384.2391818 ,  164.5812029 ,  302.7892843 
2021,  452.0569336 ,  304.9409129 ,  322.6484234 
2022,  570.5507702 ,  470.7198963 ,  331.0579306 
2023,  678.7335203 ,  629.9455863 ,  358.0087903 
2024,  761.8658052 ,  741.1089172 ,  412.2245657 
2025,  689.7880885 ,  893.1276770 ,  482.9982159 
